Time,Amplitude
0,-1.20E-04
0.0005,9.63E-04
0.001,1.79E-03
0.0015,2.45E-03
0.002,3.01E-03
0.0025,3.50E-03
0.003,3.93E-03
0.0035,4.33E-03
0.004,4.70E-03
0.0045,5.05E-03
0.005,5.37E-03
0.0055,5.68E-03
0.006,5.97E-03
0.0065,6.25E-03
0.007,6.51E-03
0.0075,6.77E-03
0.008,7.01E-03
0.0085,7.24E-03
0.009,7.47E-03
0.0095,7.68E-03
0.01,7.89E-03
0.0105,8.09E-03
0.011,8.28E-03
0.0115,8.47E-03
0.012,8.66E-03
0.0125,8.83E-03
0.013,9.01E-03
0.0135,9.18E-03
0.014,9.35E-03
0.0145,9.51E-03
0.015,9.67E-03
0.0155,9.83E-03
0.016,9.98E-03
0.0165,1.01E-02
0.017,1.03E-02
0.0175,1.04E-02
0.018,1.06E-02
0.0185,1.07E-02
0.019,1.09E-02
0.0195,1.11E-02
0.02,1.12E-02
0.0205,1.14E-02
0.021,1.15E-02
0.0215,1.17E-02
0.022,1.18E-02
0.0225,1.20E-02
0.023,1.21E-02
0.0235,1.23E-02
0.024,1.24E-02
0.0245,1.26E-02
0.025,1.28E-02
0.0255,1.29E-02
0.026,1.31E-02
0.0265,1.33E-02
0.027,1.35E-02
0.0275,1.36E-02
0.028,1.38E-02
0.0285,1.40E-02
0.029,1.42E-02
0.0295,1.44E-02
0.03,1.46E-02
0.0305,1.48E-02
0.031,1.50E-02
0.0315,1.52E-02
0.032,1.54E-02
0.0325,1.56E-02
0.033,1.59E-02
0.0335,1.61E-02
0.034,1.63E-02
0.0345,1.65E-02
0.035,1.68E-02
0.0355,1.70E-02
0.036,1.73E-02
0.0365,1.75E-02
0.037,1.78E-02
0.0375,1.81E-02
0.038,1.83E-02
0.0385,1.86E-02
0.039,1.89E-02
0.0395,1.92E-02
0.04,1.94E-02
0.0405,1.97E-02
0.041,2.00E-02
0.0415,2.04E-02
0.042,2.07E-02
0.0425,2.10E-02
0.043,2.13E-02
0.0435,2.16E-02
0.044,2.20E-02
0.0445,2.23E-02
0.045,2.27E-02
0.0455,2.30E-02
0.046,2.34E-02
0.0465,2.37E-02
0.047,2.41E-02
0.0475,2.45E-02
0.048,2.49E-02
0.0485,2.53E-02
0.049,2.57E-02
0.0495,2.61E-02
0.05,2.65E-02
0.0505,2.69E-02
0.051,2.73E-02
0.0515,2.77E-02
0.052,2.82E-02
0.0525,2.86E-02
0.053,2.91E-02
0.0535,2.95E-02
0.054,3.00E-02
0.0545,3.05E-02
0.055,3.09E-02
0.0555,3.14E-02
0.056,3.19E-02
0.0565,3.24E-02
0.057,3.29E-02
